tier,oracle_group,oracle,algorithm,complete,present,missing,n_present,n_expected
full,cheap,hba,gpbo,False,-,0 1 2 3 4,0,5
full,cheap,hba,graph_ga,False,-,0 1 2 3 4,0,5
full,cheap,hba,graph_mcts,False,-,0 1 2 3 4,0,5
full,cheap,hba,mimosa,False,-,0 1 2 3 4,0,5
full,cheap,hba,moldqn,False,-,0 1 2 3 4,0,5
full,cheap,hba,reinvent,False,-,0 1 2 3 4,0,5
full,cheap,hba,reinvent_selfies,False,-,0 1 2 3 4,0,5
full,cheap,hba,screening,False,-,0 1 2 3 4,0,5
full,cheap,hba,selfies_ga,False,-,0 1 2 3 4,0,5
full,cheap,hba,smiles_ga,False,-,0 1 2 3 4,0,5
full,cheap,hba,stoned,False,-,0 1 2 3 4,0,5
full,cheap,hbd,gpbo,False,-,0 1 2 3 4,0,5
full,cheap,hbd,graph_ga,False,-,0 1 2 3 4,0,5
full,cheap,hbd,graph_mcts,False,-,0 1 2 3 4,0,5
full,cheap,hbd,mimosa,False,-,0 1 2 3 4,0,5
full,cheap,hbd,moldqn,False,-,0 1 2 3 4,0,5
full,cheap,hbd,reinvent,False,-,0 1 2 3 4,0,5
full,cheap,hbd,reinvent_selfies,False,-,0 1 2 3 4,0,5
full,cheap,hbd,screening,False,-,0 1 2 3 4,0,5
full,cheap,hbd,selfies_ga,False,-,0 1 2 3 4,0,5
full,cheap,hbd,smiles_ga,False,-,0 1 2 3 4,0,5
full,cheap,hbd,stoned,False,-,0 1 2 3 4,0,5
full,cheap,logp,gpbo,True,0 1 2 3 4,-,5,5
full,cheap,logp,graph_ga,True,0 1 2 3 4,-,5,5
full,cheap,logp,graph_mcts,False,-,0 1 2 3 4,0,5
full,cheap,logp,mimosa,False,-,0 1 2 3 4,0,5
full,cheap,logp,moldqn,False,-,0 1 2 3 4,0,5
full,cheap,logp,reinvent,False,-,0 1 2 3 4,0,5
full,cheap,logp,reinvent_selfies,False,-,0 1 2 3 4,0,5
full,cheap,logp,screening,True,0 1 2 3 4,-,5,5
full,cheap,logp,selfies_ga,False,-,0 1 2 3 4,0,5
full,cheap,logp,smiles_ga,True,0 1 2 3 4,-,5,5
full,cheap,logp,stoned,True,0 1 2 3 4,-,5,5
full,cheap,mol_wt,gpbo,False,-,0 1 2 3 4,0,5
full,cheap,mol_wt,graph_ga,False,-,0 1 2 3 4,0,5
full,cheap,mol_wt,graph_mcts,False,-,0 1 2 3 4,0,5
full,cheap,mol_wt,mimosa,False,-,0 1 2 3 4,0,5
full,cheap,mol_wt,moldqn,False,-,0 1 2 3 4,0,5
full,cheap,mol_wt,reinvent,False,-,0 1 2 3 4,0,5
full,cheap,mol_wt,reinvent_selfies,False,-,0 1 2 3 4,0,5
full,cheap,mol_wt,screening,False,-,0 1 2 3 4,0,5
full,cheap,mol_wt,selfies_ga,False,-,0 1 2 3 4,0,5
full,cheap,mol_wt,smiles_ga,False,-,0 1 2 3 4,0,5
full,cheap,mol_wt,stoned,False,-,0 1 2 3 4,0,5
full,cheap,qed,gpbo,True,0 1 2 3 4,-,5,5
full,cheap,qed,graph_ga,True,0 1 2 3 4,-,5,5
full,cheap,qed,graph_mcts,False,-,0 1 2 3 4,0,5
full,cheap,qed,mimosa,False,-,0 1 2 3 4,0,5
full,cheap,qed,moldqn,False,-,0 1 2 3 4,0,5
full,cheap,qed,reinvent,False,-,0 1 2 3 4,0,5
full,cheap,qed,reinvent_selfies,False,-,0 1 2 3 4,0,5
full,cheap,qed,screening,True,0 1 2 3 4,-,5,5
full,cheap,qed,selfies_ga,False,-,0 1 2 3 4,0,5
full,cheap,qed,smiles_ga,True,0 1 2 3 4,-,5,5
full,cheap,qed,stoned,True,0 1 2 3 4,-,5,5
full,cheap,rot_bonds,gpbo,False,-,0 1 2 3 4,0,5
full,cheap,rot_bonds,graph_ga,False,-,0 1 2 3 4,0,5
full,cheap,rot_bonds,graph_mcts,False,-,0 1 2 3 4,0,5
full,cheap,rot_bonds,mimosa,False,-,0 1 2 3 4,0,5
full,cheap,rot_bonds,moldqn,False,-,0 1 2 3 4,0,5
full,cheap,rot_bonds,reinvent,False,-,0 1 2 3 4,0,5
full,cheap,rot_bonds,reinvent_selfies,False,-,0 1 2 3 4,0,5
full,cheap,rot_bonds,screening,False,-,0 1 2 3 4,0,5
full,cheap,rot_bonds,selfies_ga,False,-,0 1 2 3 4,0,5
full,cheap,rot_bonds,smiles_ga,False,-,0 1 2 3 4,0,5
full,cheap,rot_bonds,stoned,False,-,0 1 2 3 4,0,5
full,cheap,sascore,gpbo,False,-,0 1 2 3 4,0,5
full,cheap,sascore,graph_ga,False,-,0 1 2 3 4,0,5
full,cheap,sascore,graph_mcts,False,-,0 1 2 3 4,0,5
full,cheap,sascore,mimosa,False,-,0 1 2 3 4,0,5
full,cheap,sascore,moldqn,False,-,0 1 2 3 4,0,5
full,cheap,sascore,reinvent,False,-,0 1 2 3 4,0,5
full,cheap,sascore,reinvent_selfies,False,-,0 1 2 3 4,0,5
full,cheap,sascore,screening,False,-,0 1 2 3 4,0,5
full,cheap,sascore,selfies_ga,False,-,0 1 2 3 4,0,5
full,cheap,sascore,smiles_ga,False,-,0 1 2 3 4,0,5
full,cheap,sascore,stoned,False,-,0 1 2 3 4,0,5
full,cheap,tpsa,gpbo,False,-,0 1 2 3 4,0,5
full,cheap,tpsa,graph_ga,False,-,0 1 2 3 4,0,5
full,cheap,tpsa,graph_mcts,False,-,0 1 2 3 4,0,5
full,cheap,tpsa,mimosa,False,-,0 1 2 3 4,0,5
full,cheap,tpsa,moldqn,False,-,0 1 2 3 4,0,5
full,cheap,tpsa,reinvent,False,-,0 1 2 3 4,0,5
full,cheap,tpsa,reinvent_selfies,False,-,0 1 2 3 4,0,5
full,cheap,tpsa,screening,False,-,0 1 2 3 4,0,5
full,cheap,tpsa,selfies_ga,False,-,0 1 2 3 4,0,5
full,cheap,tpsa,smiles_ga,False,-,0 1 2 3 4,0,5
full,cheap,tpsa,stoned,False,-,0 1 2 3 4,0,5
